epoch,step,train_loss,val_loss
0,4,0.8464428186416626,
0,9,0.7731489539146423,
0,14,0.7698703408241272,
0,19,0.7969858646392822,
0,24,0.7224649786949158,
0,29,0.7704709768295288,
0,34,0.7510627508163452,
0,39,0.7324959635734558,
0,44,0.7474279403686523,
0,49,0.6660627722740173,
0,54,0.6671209335327148,
0,59,0.6826358437538147,
0,64,0.6924713253974915,
0,69,0.6672548651695251,
0,74,0.7489738464355469,
0,79,0.6617653965950012,
0,84,0.6529310941696167,
0,89,0.7239183783531189,
0,89,,0.650501549243927
1,94,0.6398960947990417,
1,99,0.6393009424209595,
1,104,0.6876910924911499,
1,109,0.6557789444923401,
1,114,0.6672683358192444,
1,119,0.6372454762458801,
1,124,0.695465087890625,
1,129,0.6691834926605225,
1,134,0.6897700428962708,
1,139,0.6485288739204407,
1,144,0.7057743072509766,
1,149,0.666810929775238,
1,154,0.6475461721420288,
1,159,0.6854082345962524,
1,164,0.6810576319694519,
1,169,0.5771932601928711,
1,174,0.593132495880127,
1,179,0.6067929267883301,
1,179,,0.6217660903930664
2,184,0.5997396111488342,
2,189,0.5992423295974731,
2,194,0.584834098815918,
2,199,0.6976423263549805,
2,204,0.6208525896072388,
2,209,0.5847421884536743,
2,214,0.6183232665061951,
2,219,0.7284958362579346,
2,224,0.6448234915733337,
2,229,0.6748685836791992,
2,234,0.634416937828064,
2,239,0.6074451208114624,
2,244,0.5907958149909973,
2,249,0.5967458486557007,
2,254,0.6312454342842102,
2,259,0.5957173705101013,
2,264,0.6306979656219482,
2,269,0.5958672165870667,
2,269,,0.6085549592971802
3,274,0.6121096014976501,
3,279,0.6452376842498779,
3,284,0.6203041672706604,
3,289,0.596122145652771,
3,294,0.5927561521530151,
3,299,0.6105616688728333,
3,304,0.6281920075416565,
3,309,0.695686936378479,
3,314,0.6653585433959961,
3,319,0.618441104888916,
3,324,0.5638710856437683,
3,329,0.6784507632255554,
3,334,0.5396393537521362,
3,339,0.5542840957641602,
3,344,0.6951602101325989,
3,349,0.630480945110321,
3,354,0.6550855040550232,
3,359,0.5870962738990784,
3,359,,0.6035093665122986
4,364,0.6803448796272278,
4,369,0.5954184532165527,
4,374,0.605912446975708,
4,379,0.6887856125831604,
4,384,0.6235606670379639,
4,389,0.6287633180618286,
4,394,0.6060189008712769,
4,399,0.6466075778007507,
4,404,0.6281344890594482,
4,409,0.6888549327850342,
4,414,0.6864293217658997,
4,419,0.6106232404708862,
4,424,0.6223085522651672,
4,429,0.6845464706420898,
4,434,0.6530472636222839,
4,439,0.5698270797729492,
4,444,0.559371292591095,
4,449,0.6650953888893127,
4,449,,0.6011204719543457
5,454,0.6197845339775085,
5,459,0.652657151222229,
5,464,0.6457948684692383,
5,469,0.5566568374633789,
5,474,0.5573408603668213,
5,479,0.6434330344200134,
5,484,0.642254650592804,
5,489,0.6596928238868713,
5,494,0.6927388310432434,
5,499,0.6138350963592529,
5,504,0.6268680691719055,
5,509,0.6127642393112183,
5,514,0.5864682793617249,
5,519,0.6016217470169067,
5,524,0.5878442525863647,
5,529,0.6148257255554199,
5,534,0.6363403797149658,
5,539,0.6673982739448547,
5,539,,0.5999259352684021
6,544,0.6940765380859375,
6,549,0.638829231262207,
6,554,0.5878306031227112,
6,559,0.6561571359634399,
6,564,0.6342227458953857,
