epoch,step,train_loss,val_loss
0,4,0.7890363335609436,
0,9,0.7515034675598145,
0,14,0.7088292241096497,
0,19,0.6627098321914673,
0,24,0.6325002908706665,
0,29,0.6391794085502625,
0,34,0.6842758059501648,
0,39,0.6374666690826416,
0,44,0.6580669283866882,
0,49,0.6284506320953369,
0,54,0.6251447796821594,
0,59,0.6053425073623657,
0,64,0.5944036245346069,
0,69,0.5923193097114563,
0,74,0.6367272138595581,
0,79,0.6002325415611267,
0,84,0.5722792148590088,
0,89,0.6198978424072266,
0,89,,0.5744903087615967
1,94,0.6127302646636963,
1,99,0.5397091507911682,
1,104,0.5972408652305603,
1,109,0.5688016414642334,
1,114,0.5732065439224243,
1,119,0.5617561936378479,
1,124,0.5392438173294067,
1,129,0.6166357398033142,
1,134,0.5904395580291748,
1,139,0.5769136548042297,
1,144,0.5373131036758423,
1,149,0.5593850612640381,
1,154,0.4942717254161834,
1,159,0.5320934653282166,
1,164,0.5252471566200256,
1,169,0.5383085608482361,
1,174,0.5737398862838745,
1,179,0.425521045923233,
1,179,,0.5283166170120239
2,184,0.5317090749740601,
2,189,0.5044389963150024,
2,194,0.5498988032341003,
2,199,0.5081108212471008,
2,204,0.4884390830993652,
2,209,0.4800236225128174,
2,214,0.5295275449752808,
2,219,0.5405756831169128,
2,224,0.523954451084137,
2,229,0.5316058397293091,
2,234,0.5352755784988403,
2,239,0.4674549698829651,
2,244,0.5529680848121643,
2,249,0.5823473930358887,
2,254,0.4882848858833313,
2,259,0.5020755529403687,
2,264,0.4719816148281097,
2,269,0.46928671002388,
2,269,,0.483928769826889
3,274,0.5087887644767761,
3,279,0.4948208034038543,
3,284,0.4672300517559051,
3,289,0.4684508442878723,
3,294,0.4453366994857788,
3,299,0.4842842221260071,
3,304,0.4413305521011352,
3,309,0.4340816736221313,
3,314,0.4207097589969635,
3,319,0.4346279799938202,
3,324,0.4379144310951233,
3,329,0.5178431868553162,
3,334,0.4795992374420166,
3,339,0.4657344818115234,
3,344,0.4744168519973755,
3,349,0.4260077476501465,
3,354,0.5167360901832581,
3,359,0.4900135099887848,
3,359,,0.4438256025314331
4,364,0.4355945885181427,
4,369,0.442842960357666,
4,374,0.4825960099697113,
4,379,0.4542998075485229,
4,384,0.4227887094020843,
4,389,0.4805979132652282,
4,394,0.4765013456344604,
4,399,0.4161176085472107,
4,404,0.4529569447040558,
4,409,0.4035703241825104,
4,414,0.4690427780151367,
4,419,0.4658675491809845,
4,424,0.4308574497699737,
4,429,0.4257702827453613,
4,434,0.3906671106815338,
4,439,0.4537656009197235,
4,444,0.4051846861839294,
4,449,0.4036352038383484,
4,449,,0.4120438992977142
5,454,0.3832935988903045,
5,459,0.3995777070522308,
5,464,0.3936338722705841,
5,469,0.3762925565242767,
5,474,0.4204759299755096,
5,479,0.4049518406391144,
5,484,0.4192537367343902,
5,489,0.4219283163547516,
5,494,0.3865295946598053,
5,499,0.4787057936191559,
5,504,0.4076668620109558,
5,509,0.4084277153015136,
5,514,0.4060479998588562,
5,519,0.3799797892570495,
5,524,0.3753165304660797,
5,529,0.4257580637931824,
5,534,0.3726736009120941,
5,539,0.3856774866580963,
5,539,,0.385943740606308
6,544,0.3883533477783203,
6,549,0.3652641177177429,
6,554,0.3727120161056518,
6,559,0.3890341818332672,
6,564,0.4712698459625244,
6,569,0.4129259288311004,
6,574,0.3810441792011261,
6,579,0.4285028576850891,
6,584,0.3766689300537109,
6,589,0.358549416065216,
6,594,0.4115587770938873,
6,599,0.3866832554340362,
6,604,0.3800019323825836,
6,609,0.40027716755867,
6,614,0.3602222800254822,
6,619,0.3528694212436676,
6,624,0.4095884263515472,
6,629,0.4160649478435516,
6,629,,0.3649853467941284
7,634,0.3607403635978699,
7,639,0.3918803334236145,
7,644,0.3481741845607757,
7,649,0.3336853682994842,
7,654,0.3545734882354736,
7,659,0.3808644413948059,
7,664,0.3552351295948028,
7,669,0.3792080879211426,
7,674,0.3377499580383301,
7,679,0.3738668262958526,
7,684,0.3360530734062195,
7,689,0.3540585339069366,
7,694,0.3585717380046844,
7,699,0.355459600687027,
7,704,0.3383974730968475,
7,709,0.3598397374153137,
7,714,0.3330812156200409,
7,719,0.367811918258667,
7,719,,0.3478158414363861
8,724,0.3488358557224273,
8,729,0.3258465230464935,
8,734,0.3758929669857025,
8,739,0.3423303663730621,
8,744,0.368739366531372,
8,749,0.3223033249378204,
8,754,0.3471741676330566,
8,759,0.3336281478404999,
8,764,0.3347782492637634,
8,769,0.3156980872154236,
8,774,0.3224314153194427,
8,779,0.3281960189342499,
8,784,0.3894400596618652,
8,789,0.3340628445148468,
8,794,0.3476145565509796,
8,799,0.3079797923564911,
8,804,0.3165425658226013,
8,809,0.4050854444503784,
8,809,,0.3311607539653778
9,814,0.3071513175964355,
9,819,0.3293892741203308,
9,824,0.3241837620735168,
9,829,0.296102911233902,
9,834,0.3348749577999115,
9,839,0.3483787178993225,
9,844,0.3063161969184875,
9,849,0.3571858704090118,
9,854,0.3257834911346435,
9,859,0.3015282154083252,
9,864,0.3343618810176849,
9,869,0.2931559383869171,
9,874,0.3497037291526794,
9,879,0.3437020480632782,
9,884,0.3016015291213989,
9,889,0.2809563875198364,
9,894,0.360966295003891,
9,899,0.3296098411083221,
9,899,,0.3181353509426117
10,904,0.3402736783027649,
10,909,0.3372723758220672,
10,914,0.2801757156848907,
10,919,0.3063884973526001,
10,924,0.3016780614852905,
10,929,0.3491000235080719,
10,934,0.2972132265567779,
10,939,0.3773393332958221,
10,944,0.3464754521846771,
10,949,0.401148110628128,
10,954,0.2981017827987671,
10,959,0.3082166016101837,
10,964,0.3019293546676636,
10,969,0.3202411532402038,
10,974,0.3018140494823456,
10,979,0.3086642622947693,
10,984,0.2969299554824829,
10,989,0.3427835702896118,
10,989,,0.3071470558643341
11,994,0.3281885087490082,
11,999,0.3077163398265838,
11,1004,0.3029066622257232,
11,1009,0.3083772361278534,
11,1014,0.2926512658596039,
11,1019,0.2867816090583801,
11,1024,0.2839122414588928,
11,1029,0.331202894449234,
11,1034,0.3085050582885742,
11,1039,0.2899779081344604,
11,1044,0.2902528643608093,
11,1049,0.326685220003128,
11,1054,0.2965677678585052,
11,1059,0.3160218000411987,
11,1064,0.3115661442279815,
11,1069,0.2992351651191711,
11,1074,0.3219871819019317,
11,1079,0.2876210212707519,
11,1079,,0.2982805371284485
12,1084,0.3129763305187225,
12,1089,0.2965759634971618,
12,1094,0.294798344373703,
12,1099,0.2956503927707672,
12,1104,0.3106819987297058,
12,1109,0.2949788272380829,
12,1114,0.292429119348526,
12,1119,0.2933951020240783,
12,1124,0.3052090108394623,
12,1129,0.3122816085815429,
12,1134,0.2826984226703644,
12,1139,0.2932654023170471,
12,1144,0.2975738942623138,
12,1149,0.2961256802082062,
12,1154,0.3191251456737518,
12,1159,0.2806828916072845,
12,1164,0.2953303754329681,
12,1169,0.2878724634647369,
12,1169,,0.2895421981811523
13,1174,0.2919621765613556,
13,1179,0.2807918787002563,
13,1184,0.3063868582248688,
13,1189,0.2788704633712768,
13,1194,0.3067096173763275,
13,1199,0.2803525626659393,
13,1204,0.2786370813846588,
13,1209,0.2629259526729584,
13,1214,0.2884390354156494,
13,1219,0.3224660754203796,
13,1224,0.2851203083992004,
